('hdr', 'vfx-1', '0.000027', '0.000145', '0.000000', '0.000184', '0.000000', '0.050448', '0.050477')
('hdr', 'vfx-2', '0.000027', '0.000144', '0.000000', '0.000184', '0.000000', '0.052163', '0.052189')
('hdr', 'vfx-3', '0.000054', '0.000178', '0.000000', '0.000221', '0.000000', '0.051887', '0.051910')
('hdr', 'color', '0.000030', '0.000170', '0.000000', '0.000210', '0.000000', '0.054473', '0.054497')
('hdr', 'sound', '0.000027', '0.000141', '0.000000', '0.000181', '0.000000', '0.005267', '0.005284')
('owner', 'vfx-1', '0.000033', '0.000179', '0.000000', '0.000230', '0.000000', '0.009267', '0.009323')
('owner', 'vfx-2', '0.000037', '0.000149', '0.000000', '0.000188', '0.000000', '0.006004', '0.006020')
('owner', 'vfx-3', '0.000027', '0.000137', '0.000000', '0.000179', '0.000000', '0.006968', '0.007026')
('owner', 'color', '0.000036', '0.000181', '0.000000', '0.000222', '0.000000', '0.009292', '0.009315')
('owner', 'sound', '0.000026', '0.000141', '0.000000', '0.000181', '0.000000', '0.052526', '0.052549')
('owner', 'hdr', '0.000029', '0.000140', '0.000000', '0.000182', '0.000000', '0.099215', '0.099243')
('vfx-1', 'owner', '0.000027', '0.000143', '0.000000', '0.000182', '0.000000', '0.005638', '0.005659')
('vfx-1', 'vfx-2', '0.000028', '0.000131', '0.000000', '0.000171', '0.000000', '0.007544', '0.007601')
('vfx-1', 'vfx-3', '0.000027', '0.000156', '0.000000', '0.000198', '0.000000', '0.006473', '0.006538')
('vfx-1', 'color', '0.000028', '0.000173', '0.000000', '0.000214', '0.000000', '0.009791', '0.009814')
('vfx-1', 'sound', '0.000030', '0.000144', '0.000000', '0.000187', '0.000000', '0.054523', '0.054553')
('vfx-1', 'hdr', '0.000035', '0.000183', '0.000000', '0.000226', '0.000000', '0.050731', '0.050759')
('vfx-2', 'owner', '0.000030', '0.000146', '0.000000', '0.000187', '0.000000', '0.005828', '0.005847')
('vfx-2', 'vfx-1', '0.000029', '0.000158', '0.000000', '0.000202', '0.000000', '0.003884', '0.003908')
('vfx-2', 'vfx-3', '0.000027', '0.000145', '0.000000', '0.000178', '0.000000', '0.003942', '0.003963')
('vfx-2', 'color', '0.000030', '0.000156', '0.000000', '0.000200', '0.000000', '0.014400', '0.014480')
('vfx-2', 'sound', '0.000027', '0.000159', '0.000000', '0.000200', '0.000000', '0.052128', '0.052151')
('vfx-2', 'hdr', '0.000028', '0.000143', '0.000000', '0.000184', '0.000000', '0.054552', '0.054575')
('vfx-3', 'owner', '0.000028', '0.000146', '0.000000', '0.000187', '0.000000', '0.006361', '0.006382')
('vfx-3', 'vfx-1', '0.000029', '0.000265', '0.000000', '0.000343', '0.000000', '0.004231', '0.004254')
('vfx-3', 'vfx-2', '0.000027', '0.000138', '0.000000', '0.000178', '0.000000', '0.003841', '0.003864')
('vfx-3', 'color', '0.000070', '0.000247', '0.000000', '0.000292', '0.000000', '0.012584', '0.012608')
('vfx-3', 'sound', '0.000037', '0.000158', '0.000000', '0.000197', '0.000000', '0.052244', '0.052268')
('vfx-3', 'hdr', '0.000038', '0.000198', '0.000000', '0.000241', '0.000000', '0.050123', '0.050146')
('color', 'owner', '0.000112', '0.000529', '0.000000', '0.000615', '0.000000', '0.007692', '0.007744')
('color', 'vfx-1', '0.000057', '0.000303', '0.000000', '0.000380', '0.000000', '0.007021', '0.007084')
('color', 'vfx-2', '0.000115', '0.000473', '0.000000', '0.000542', '0.000000', '0.007650', '0.007700')
('color', 'vfx-3', '0.000078', '0.000447', '0.000000', '0.000512', '0.000000', '0.008527', '0.008587')
('color', 'sound', '0.000053', '0.000311', '0.000000', '0.000367', '0.000000', '0.052246', '0.052326')
('color', 'hdr', '0.000061', '0.000389', '0.000000', '0.000469', '0.000000', '0.057511', '0.057697')
('sound', 'owner', '0.000038', '0.000176', '0.000000', '0.000218', '0.000000', '0.056919', '0.056983')
('sound', 'vfx-1', '0.000027', '0.000150', '0.000000', '0.000193', '0.000000', '0.054493', '0.054518')
('sound', 'vfx-2', '0.000026', '0.000135', '0.000000', '0.000179', '0.000000', '0.050274', '0.050299')
('sound', 'vfx-3', '0.000036', '0.000172', '0.000000', '0.000216', '0.000000', '0.102654', '0.102682')
('sound', 'color', '0.000039', '0.000189', '0.000000', '0.000233', '0.000000', '0.054723', '0.054747')
('sound', 'hdr', '0.000029', '0.000141', '0.000000', '0.000181', '0.000000', '0.005848', '0.005865')
('hdr', 'owner', '0.000028', '0.000149', '0.000000', '0.000189', '0.000000', '0.050488', '0.050511')
('hdr', 'vfx-1', '0.000028', '0.000141', '0.000000', '0.000182', '0.000000', '0.050544', '0.050573')
('hdr', 'vfx-2', '0.000036', '0.000162', '0.000000', '0.000204', '0.000000', '0.052503', '0.052526')
