('vfx-1', 'vfx-2', '0.000032', '0.000154', '0.000000', '0.000195', '0.000000', '0.004239', '0.004290')
('vfx-1', 'vfx-3', '0.000035', '0.000167', '0.000000', '0.000210', '0.000000', '0.005214', '0.005269')
('vfx-1', 'color', '0.000028', '0.000142', '0.000000', '0.000183', '0.000000', '0.005608', '0.005660')
('vfx-1', 'sound', '0.000025', '0.000142', '0.000000', '0.000183', '0.000000', '0.052146', '0.052218')
('vfx-1', 'hdr', '0.000026', '0.000167', '0.000000', '0.000210', '0.000000', '0.054820', '0.054883')
('vfx-2', 'owner', '0.000031', '0.000144', '0.000000', '0.000183', '0.000000', '0.005707', '0.005755')
('vfx-2', 'vfx-1', '0.000027', '0.000146', '0.000000', '0.000189', '0.000000', '0.004159', '0.004210')
('vfx-2', 'vfx-3', '0.000026', '0.000145', '0.000000', '0.000178', '0.000000', '0.003894', '0.003940')
('vfx-2', 'color', '0.000035', '0.000154', '0.000000', '0.000196', '0.000000', '0.005511', '0.005564')
('vfx-2', 'sound', '0.000033', '0.000155', '0.000000', '0.000202', '0.000000', '0.052283', '0.052397')
('vfx-2', 'hdr', '0.000025', '0.000133', '0.000000', '0.000171', '0.000000', '0.052354', '0.052419')
('vfx-3', 'owner', '0.000042', '0.000175', '0.000000', '0.000216', '0.000000', '0.006375', '0.006427')
('vfx-3', 'vfx-1', '0.000025', '0.000138', '0.000000', '0.000179', '0.000000', '0.003986', '0.004032')
('vfx-3', 'vfx-2', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.004024', '0.004068')
('vfx-3', 'color', '0.000026', '0.000141', '0.000000', '0.000181', '0.000000', '0.005293', '0.005338')
('vfx-3', 'sound', '0.000025', '0.000144', '0.000000', '0.000186', '0.000000', '0.050160', '0.050246')
('vfx-3', 'hdr', '0.000035', '0.000187', '0.000000', '0.000230', '0.000000', '0.052884', '0.052953')
('color', 'owner', '0.000024', '0.000131', '0.000000', '0.000167', '0.000000', '0.006443', '0.006483')
('color', 'vfx-1', '0.000035', '0.000140', '0.000000', '0.000178', '0.000000', '0.006213', '0.006248')
('color', 'vfx-2', '0.000025', '0.000134', '0.000000', '0.000174', '0.000000', '0.005150', '0.005197')
('color', 'vfx-3', '0.000050', '0.000161', '0.000000', '0.000201', '0.000000', '0.006066', '0.006109')
('color', 'sound', '0.000032', '0.000162', '0.000000', '0.000209', '0.000000', '0.050611', '0.050653')
('color', 'hdr', '0.000031', '0.000134', '0.000000', '0.000171', '0.000000', '0.052184', '0.052226')
('sound', 'owner', '0.000033', '0.000159', '0.000000', '0.000202', '0.000000', '0.053480', '0.053582')
('sound', 'vfx-1', '0.000029', '0.000136', '0.000000', '0.000176', '0.000000', '0.051865', '0.051938')
('sound', 'vfx-2', '0.000027', '0.000152', '0.000000', '0.000193', '0.000000', '0.096595', '0.096661')
('sound', 'vfx-3', '0.000027', '0.000179', '0.000000', '0.000222', '0.000000', '0.053466', '0.053572')
('sound', 'color', '0.000028', '0.000167', '0.000000', '0.000210', '0.000000', '0.054294', '0.054357')
('sound', 'hdr', '0.000044', '0.000167', '0.000000', '0.000232', '0.000000', '0.007567', '0.007623')
('hdr', 'owner', '0.000030', '0.000145', '0.000000', '0.000188', '0.000000', '0.050985', '0.051048')
('hdr', 'vfx-1', '0.000026', '0.000141', '0.000000', '0.000178', '0.000000', '0.052171', '0.052265')
('hdr', 'vfx-2', '0.000027', '0.000162', '0.000000', '0.000203', '0.000000', '0.052250', '0.052322')
('hdr', 'vfx-3', '0.000034', '0.000163', '0.000000', '0.000205', '0.000000', '0.052856', '0.052927')
('hdr', 'color', '0.000033', '0.000182', '0.000000', '0.000226', '0.000000', '0.052468', '0.052529')
('hdr', 'sound', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.006061', '0.006117')
('owner', 'vfx-1', '0.000028', '0.000146', '0.000000', '0.000216', '0.000000', '0.005447', '0.005499')
('owner', 'vfx-2', '0.000033', '0.000165', '0.000000', '0.000221', '0.000000', '0.004978', '0.005021')
('owner', 'vfx-3', '0.000029', '0.000156', '0.000000', '0.000198', '0.000000', '0.005626', '0.005674')
('owner', 'color', '0.000027', '0.000141', '0.000000', '0.000182', '0.000000', '0.005991', '0.006042')
('owner', 'sound', '0.000030', '0.000151', '0.000000', '0.000192', '0.000000', '0.050883', '0.050989')
('owner', 'hdr', '0.000053', '0.000150', '0.000000', '0.000187', '0.000000', '0.052327', '0.052402')
('vfx-1', 'owner', '0.000029', '0.000188', '0.000000', '0.000229', '0.000000', '0.007079', '0.007123')
('vfx-1', 'vfx-2', '0.000027', '0.000161', '0.000000', '0.000204', '0.000000', '0.003843', '0.003885')
('vfx-1', 'vfx-3', '0.000025', '0.000140', '0.000000', '0.000180', '0.000000', '0.004158', '0.004199')
