('vfx-2', 'vfx-3', '0.000035', '0.000149', '0.000000', '0.000192', '0.000000', '0.004167', '0.004188')
('vfx-2', 'color', '0.000035', '0.000343', '0.000000', '0.000405', '0.000000', '0.008447', '0.008490')
('vfx-2', 'sound', '0.000025', '0.000127', '0.000000', '0.000167', '0.000000', '0.051807', '0.051827')
('vfx-2', 'hdr', '0.000026', '0.000160', '0.000000', '0.000203', '0.000000', '0.051905', '0.051929')
('vfx-3', 'owner', '0.000029', '0.000137', '0.000000', '0.000185', '0.000000', '0.005930', '0.005947')
('vfx-3', 'vfx-1', '0.000025', '0.000137', '0.000000', '0.000181', '0.000000', '0.004002', '0.004022')
('vfx-3', 'vfx-2', '0.000024', '0.000131', '0.000000', '0.000170', '0.000000', '0.003580', '0.003599')
('vfx-3', 'color', '0.000024', '0.000127', '0.000000', '0.000167', '0.000000', '0.005432', '0.005450')
('vfx-3', 'sound', '0.000025', '0.000159', '0.000000', '0.000204', '0.000000', '0.054537', '0.054592')
('vfx-3', 'hdr', '0.000025', '0.000145', '0.000000', '0.000187', '0.000000', '0.050068', '0.050118')
('color', 'owner', '0.000039', '0.000155', '0.000000', '0.000199', '0.000000', '0.005171', '0.005193')
('color', 'vfx-1', '0.000030', '0.000162', '0.000000', '0.000206', '0.000000', '0.005448', '0.005469')
('color', 'vfx-2', '0.000027', '0.000142', '0.000000', '0.000181', '0.000000', '0.005460', '0.005481')
('color', 'vfx-3', '0.000034', '0.000176', '0.000000', '0.000220', '0.000000', '0.005606', '0.005658')
('color', 'sound', '0.000027', '0.000142', '0.000000', '0.000184', '0.000000', '0.054353', '0.054377')
('color', 'hdr', '0.000037', '0.000198', '0.000000', '0.000241', '0.000000', '0.051054', '0.051103')
('sound', 'owner', '0.000029', '0.000149', '0.000000', '0.000190', '0.000000', '0.052236', '0.052265')
('sound', 'vfx-1', '0.000026', '0.000168', '0.000000', '0.000209', '0.000000', '0.101575', '0.101598')
('sound', 'vfx-2', '0.000034', '0.000181', '0.000000', '0.000223', '0.000000', '0.055922', '0.055944')
('sound', 'vfx-3', '0.000040', '0.000344', '0.000000', '0.000399', '0.000000', '0.052654', '0.052682')
('sound', 'color', '0.000033', '0.000207', '0.000000', '0.000260', '0.000000', '0.056373', '0.056395')
('sound', 'hdr', '0.000035', '0.000172', '0.000000', '0.000214', '0.000000', '0.006971', '0.006992')
('hdr', 'owner', '0.000029', '0.000146', '0.000000', '0.000188', '0.000000', '0.053674', '0.053738')
('hdr', 'vfx-1', '0.000034', '0.000176', '0.000000', '0.000220', '0.000000', '0.054397', '0.054419')
('hdr', 'vfx-2', '0.000034', '0.000151', '0.000000', '0.000190', '0.000000', '0.052354', '0.052380')
('hdr', 'vfx-3', '0.000033', '0.000162', '0.000000', '0.000205', '0.000000', '0.101611', '0.101638')
('hdr', 'color', '0.000025', '0.000140', '0.000000', '0.000190', '0.000000', '0.099532', '0.099555')
('hdr', 'sound', '0.000037', '0.000155', '0.000000', '0.000196', '0.000000', '0.008693', '0.008725')
('owner', 'vfx-1', '0.000026', '0.000137', '0.000000', '0.000179', '0.000000', '0.007578', '0.007632')
('owner', 'vfx-2', '0.000064', '0.000209', '0.000000', '0.000259', '0.000000', '0.005343', '0.005366')
('owner', 'vfx-3', '0.000031', '0.000156', '0.000000', '0.000196', '0.000000', '0.005517', '0.005535')
('owner', 'color', '0.000027', '0.000154', '0.000000', '0.000217', '0.000000', '0.005420', '0.005439')
('owner', 'sound', '0.000061', '0.000234', '0.000000', '0.000316', '0.000000', '0.050742', '0.050768')
('owner', 'hdr', '0.000033', '0.000143', '0.000000', '0.000187', '0.000000', '0.050759', '0.050784')
('vfx-1', 'owner', '0.000026', '0.000136', '0.000000', '0.000178', '0.000000', '0.005097', '0.005117')
('vfx-1', 'vfx-2', '0.000024', '0.000128', '0.000000', '0.000183', '0.000000', '0.007034', '0.007078')
('vfx-1', 'vfx-3', '0.000027', '0.000152', '0.000000', '0.000192', '0.000000', '0.007386', '0.007429')
('vfx-1', 'color', '0.000027', '0.000126', '0.000000', '0.000165', '0.000000', '0.004920', '0.004940')
('vfx-1', 'sound', '0.000024', '0.000120', '0.000000', '0.000159', '0.000000', '0.095578', '0.095601')
('vfx-1', 'hdr', '0.000028', '0.000130', '0.000000', '0.000173', '0.000000', '0.099111', '0.099131')
('vfx-2', 'owner', '0.000025', '0.000132', '0.000000', '0.000202', '0.000000', '0.005418', '0.005444')
('vfx-2', 'vfx-1', '0.000026', '0.000134', '0.000000', '0.000176', '0.000000', '0.004180', '0.004235')
('vfx-2', 'vfx-3', '0.000036', '0.000186', '0.000000', '0.000233', '0.000000', '0.004603', '0.004622')
('vfx-2', 'color', '0.000028', '0.000177', '0.000000', '0.000223', '0.000000', '0.008969', '0.009014')
('vfx-2', 'sound', '0.000036', '0.000182', '0.000000', '0.000225', '0.000000', '0.051769', '0.051813')
('vfx-2', 'hdr', '0.000033', '0.000177', '0.000000', '0.000221', '0.000000', '0.052069', '0.052087')
('vfx-3', 'owner', '0.000025', '0.000124', '0.000000', '0.000174', '0.000000', '0.005040', '0.005062')
('vfx-3', 'vfx-1', '0.000025', '0.000141', '0.000000', '0.000184', '0.000000', '0.003694', '0.003715')
('vfx-3', 'vfx-2', '0.000028', '0.000142', '0.000000', '0.000186', '0.000000', '0.003705', '0.003726')
('vfx-3', 'color', '0.000030', '0.000250', '0.000000', '0.001238', '0.000000', '0.006578', '0.006597')
('vfx-3', 'sound', '0.000037', '0.000155', '0.000000', '0.000199', '0.000000', '0.054395', '0.054440')
('vfx-3', 'hdr', '0.000026', '0.000140', '0.000000', '0.000184', '0.000000', '0.049834', '0.049861')
('color', 'owner', '0.000035', '0.000144', '0.000000', '0.000185', '0.000000', '0.004903', '0.004935')
('color', 'vfx-1', '0.000028', '0.000144', '0.000000', '0.000188', '0.000000', '0.005130', '0.005152')
('color', 'vfx-2', '0.000026', '0.000161', '0.000000', '0.000207', '0.000000', '0.004923', '0.004945')
('color', 'vfx-3', '0.000052', '0.000438', '0.000000', '0.000909', '0.000000', '0.005347', '0.005365')
('color', 'sound', '0.000035', '0.000177', '0.000000', '0.000219', '0.000000', '0.054004', '0.054027')
('color', 'hdr', '0.000028', '0.000149', '0.000000', '0.000189', '0.000000', '0.051858', '0.051885')
('sound', 'owner', '0.000036', '0.000178', '0.000000', '0.000222', '0.000000', '0.097202', '0.097226')
('sound', 'vfx-1', '0.000032', '0.000155', '0.000000', '0.000196', '0.000000', '0.051812', '0.051836')
('sound', 'vfx-2', '0.000027', '0.000133', '0.000000', '0.000173', '0.000000', '0.051955', '0.051983')
('sound', 'vfx-3', '0.000036', '0.000147', '0.000000', '0.000186', '0.000000', '0.049649', '0.049671')
('sound', 'color', '0.000026', '0.000140', '0.000000', '0.000179', '0.000000', '0.050431', '0.050453')
('sound', 'hdr', '0.000032', '0.000147', '0.000000', '0.000187', '0.000000', '0.005286', '0.005305')
('hdr', 'owner', '0.000027', '0.000196', '0.000000', '0.000241', '0.000000', '0.053474', '0.053548')
('hdr', 'vfx-1', '0.000026', '0.000134', '0.000000', '0.000174', '0.000000', '0.054382', '0.054406')
