('owner', 'vfx-3', '0.000026', '0.000162', '0.000000', '0.000210', '0.000000', '0.007798', '0.007863')
('owner', 'color', '0.000035', '0.000171', '0.000000', '0.000213', '0.000000', '0.011304', '0.011370')
('owner', 'sound', '0.000029', '0.000150', '0.000000', '0.000190', '0.000000', '0.053243', '0.053316')
('owner', 'hdr', '0.000027', '0.000170', '0.000000', '0.000211', '0.000000', '0.054610', '0.054675')
('vfx-1', 'owner', '0.000028', '0.000144', '0.000000', '0.000186', '0.000000', '0.007839', '0.008047')
('vfx-1', 'vfx-2', '0.000025', '0.000141', '0.000000', '0.000181', '0.000000', '0.006508', '0.006564')
('vfx-1', 'vfx-3', '0.000035', '0.000196', '0.000000', '0.000246', '0.000000', '0.007212', '0.007274')
('vfx-1', 'color', '0.000031', '0.000156', '0.000000', '0.000198', '0.000000', '0.012776', '0.012830')
('vfx-1', 'sound', '0.000026', '0.000136', '0.000000', '0.000175', '0.000000', '0.054333', '0.054413')
('vfx-1', 'hdr', '0.000028', '0.000149', '0.000000', '0.000192', '0.000000', '0.053772', '0.053840')
('vfx-2', 'owner', '0.000027', '0.000149', '0.000000', '0.000201', '0.000000', '0.007989', '0.008037')
('vfx-2', 'vfx-1', '0.000034', '0.000206', '0.000000', '0.000249', '0.000000', '0.006935', '0.006984')
('vfx-2', 'vfx-3', '0.000025', '0.000134', '0.000000', '0.000173', '0.000000', '0.006082', '0.006130')
('vfx-2', 'color', '0.000026', '0.000176', '0.000000', '0.000230', '0.000000', '0.011012', '0.011144')
('vfx-2', 'sound', '0.000033', '0.000173', '0.000000', '0.000218', '0.000000', '0.054101', '0.054164')
('vfx-2', 'hdr', '0.000039', '0.000189', '0.000000', '0.000233', '0.000000', '0.055858', '0.055921')
('vfx-3', 'owner', '0.000033', '0.000179', '0.000000', '0.000223', '0.000000', '0.007768', '0.007813')
('vfx-3', 'vfx-1', '0.000040', '0.000170', '0.000000', '0.000211', '0.000000', '0.006980', '0.007033')
('vfx-3', 'vfx-2', '0.000034', '0.000167', '0.000000', '0.000212', '0.000000', '0.007766', '0.007827')
('vfx-3', 'color', '0.000055', '0.000169', '0.000000', '0.000212', '0.000000', '0.012898', '0.012950')
('vfx-3', 'sound', '0.000025', '0.000138', '0.000000', '0.000179', '0.000000', '0.054763', '0.054823')
('vfx-3', 'hdr', '0.000025', '0.000134', '0.000000', '0.000173', '0.000000', '0.054377', '0.054442')
('color', 'owner', '0.000040', '0.000248', '0.000000', '0.000303', '0.000000', '0.008963', '0.009074')
