('vfx-3', 'hdr', '0.000027', '0.000138', '0.000000', '0.000177', '0.000000', '0.055368', '0.055394')
('color', 'owner', '0.000047', '0.000287', '0.000000', '0.000349', '0.000000', '0.012390', '0.012441')
('color', 'vfx-1', '0.000066', '0.000276', '0.000000', '0.000332', '0.000000', '0.010478', '0.010540')
('color', 'vfx-2', '0.000028', '0.000164', '0.000000', '0.000208', '0.000000', '0.010136', '0.010167')
('color', 'vfx-3', '0.000038', '0.000203', '0.000000', '0.000252', '0.000000', '0.011165', '0.011194')
('color', 'sound', '0.000036', '0.000178', '0.000000', '0.000224', '0.000000', '0.061841', '0.061871')
('color', 'hdr', '0.000046', '0.000267', '0.000000', '0.000316', '0.000000', '0.060548', '0.060576')
('sound', 'owner', '0.000028', '0.000148', '0.000000', '0.000193', '0.000000', '0.059920', '0.059943')
('sound', 'vfx-1', '0.000027', '0.000148', '0.000000', '0.000188', '0.000000', '0.056596', '0.056660')
('sound', 'vfx-2', '0.000027', '0.000143', '0.000000', '0.000184', '0.000000', '0.053613', '0.053647')
('sound', 'vfx-3', '0.000037', '0.000202', '0.000000', '0.000249', '0.000000', '0.059279', '0.059302')
('sound', 'color', '0.000030', '0.000144', '0.000000', '0.000191', '0.000000', '0.056853', '0.056876')
('sound', 'hdr', '0.000028', '0.000142', '0.000000', '0.000191', '0.000000', '0.014545', '0.014567')
('hdr', 'owner', '0.000028', '0.000149', '0.000000', '0.000191', '0.000000', '0.061588', '0.061657')
('hdr', 'vfx-1', '0.000028', '0.000165', '0.000000', '0.000208', '0.000000', '0.054812', '0.054840')
('hdr', 'vfx-2', '0.000027', '0.000153', '0.000000', '0.000195', '0.000000', '0.060516', '0.060552')
('hdr', 'vfx-3', '0.000027', '0.000173', '0.000000', '0.000219', '0.000000', '0.103231', '0.103255')
('hdr', 'color', '0.000039', '0.000185', '0.000000', '0.000227', '0.000000', '0.060704', '0.060727')
('hdr', 'sound', '0.000029', '0.000153', '0.000000', '0.000202', '0.000000', '0.010682', '0.010707')
('owner', 'vfx-1', '0.000026', '0.000140', '0.000000', '0.000180', '0.000000', '0.012373', '0.012432')
('owner', 'vfx-2', '0.000035', '0.000156', '0.000000', '0.000196', '0.000000', '0.011423', '0.011451')
('owner', 'vfx-3', '0.000029', '0.000165', '0.000000', '0.000210', '0.000000', '0.010721', '0.010745')
('owner', 'color', '0.000027', '0.000147', '0.000000', '0.000188', '0.000000', '0.010808', '0.010827')
('owner', 'sound', '0.000027', '0.000142', '0.000000', '0.000183', '0.000000', '0.056726', '0.056748')
('owner', 'hdr', '0.000033', '0.000183', '0.000000', '0.000227', '0.000000', '0.057092', '0.057114')
('vfx-1', 'owner', '0.000032', '0.000410', '0.000000', '0.000471', '0.000000', '0.010822', '0.010847')
('vfx-1', 'vfx-2', '0.000106', '0.000254', '0.000000', '0.000295', '0.000000', '0.011212', '0.011262')
('vfx-1', 'vfx-3', '0.000027', '0.000167', '0.000000', '0.000211', '0.000000', '0.012528', '0.012588')
('vfx-1', 'color', '0.000026', '0.000155', '0.000000', '0.000195', '0.000000', '0.011132', '0.011151')
('vfx-1', 'sound', '0.000026', '0.000132', '0.000000', '0.000171', '0.000000', '0.068341', '0.068412')
('vfx-1', 'hdr', '0.000028', '0.000143', '0.000000', '0.000183', '0.000000', '0.057231', '0.057255')
('vfx-2', 'owner', '0.000025', '0.000140', '0.000000', '0.000180', '0.000000', '0.013749', '0.013769')
('vfx-2', 'vfx-1', '0.000033', '0.000145', '0.000000', '0.000184', '0.000000', '0.011110', '0.011132')
('vfx-2', 'vfx-3', '0.000029', '0.000144', '0.000000', '0.000185', '0.000000', '0.013530', '0.013555')
('vfx-2', 'color', '0.000026', '0.000141', '0.000000', '0.000182', '0.000000', '0.015471', '0.015527')
('vfx-2', 'sound', '0.000024', '0.000131', '0.000000', '0.000172', '0.000000', '0.057015', '0.057045')
('vfx-2', 'hdr', '0.000030', '0.000147', '0.000000', '0.000192', '0.000000', '0.058387', '0.058410')
('vfx-3', 'owner', '0.000025', '0.000122', '0.000000', '0.000160', '0.000000', '0.011261', '0.011299')
('vfx-3', 'vfx-1', '0.000035', '0.000193', '0.000000', '0.000257', '0.000000', '0.009312', '0.009338')
('vfx-3', 'vfx-2', '0.000034', '0.000166', '0.000000', '0.000209', '0.000000', '0.009957', '0.009984')
('vfx-3', 'color', '0.000025', '0.000130', '0.000000', '0.000168', '0.000000', '0.010893', '0.010910')
('vfx-3', 'sound', '0.000026', '0.000149', '0.000000', '0.000198', '0.000000', '0.060379', '0.060446')
('vfx-3', 'hdr', '0.000025', '0.000187', '0.000000', '0.000227', '0.000000', '0.054963', '0.054987')
('color', 'owner', '0.000031', '0.000150', '0.000000', '0.000199', '0.000000', '0.010892', '0.010915')
('color', 'vfx-1', '0.000037', '0.000191', '0.000000', '0.000236', '0.000000', '0.013167', '0.013189')
('color', 'vfx-2', '0.000037', '0.000219', '0.000000', '0.000263', '0.000000', '0.016031', '0.016062')
('color', 'vfx-3', '0.000039', '0.000220', '0.000000', '0.000271', '0.000000', '0.012279', '0.012303')
('color', 'sound', '0.000032', '0.000177', '0.000000', '0.000224', '0.000000', '0.061328', '0.061354')
('color', 'hdr', '0.000033', '0.000161', '0.000000', '0.000205', '0.000000', '0.063170', '0.063199')
('sound', 'owner', '0.000036', '0.000199', '0.000000', '0.000239', '0.000000', '0.061944', '0.061972')
('sound', 'vfx-1', '0.000026', '0.000146', '0.000000', '0.000187', '0.000000', '0.056813', '0.056836')
('sound', 'vfx-2', '0.000028', '0.000142', '0.000000', '0.000180', '0.000000', '0.064940', '0.064966')
('sound', 'vfx-3', '0.000031', '0.000169', '0.000000', '0.000210', '0.000000', '0.057584', '0.057608')
('sound', 'color', '0.000025', '0.000140', '0.000000', '0.000182', '0.000000', '0.107028', '0.107051')
('sound', 'hdr', '0.000025', '0.000138', '0.000000', '0.000175', '0.000000', '0.010799', '0.010821')
('hdr', 'owner', '0.000029', '0.000143', '0.000000', '0.000187', '0.000000', '0.062437', '0.062505')
('hdr', 'vfx-1', '0.000027', '0.000162', '0.000000', '0.000212', '0.000000', '0.065734', '0.065763')
('hdr', 'vfx-2', '0.000034', '0.000185', '0.000000', '0.000237', '0.000000', '0.062104', '0.062127')
('hdr', 'vfx-3', '0.000042', '0.000220', '0.000000', '0.000264', '0.000000', '0.058848', '0.058874')
('hdr', 'color', '0.000026', '0.000176', '0.000000', '0.000215', '0.000000', '0.057440', '0.057463')
('hdr', 'sound', '0.000027', '0.000142', '0.000000', '0.000182', '0.000000', '0.010714', '0.010817')
('owner', 'vfx-1', '0.000037', '0.000537', '0.000000', '0.000606', '0.000000', '0.013732', '0.013818')
('owner', 'vfx-2', '0.000034', '0.000168', '0.000000', '0.000210', '0.000000', '0.010253', '0.010278')
('owner', 'vfx-3', '0.000029', '0.000159', '0.000000', '0.000202', '0.000000', '0.010099', '0.010121')
('owner', 'color', '0.000036', '0.000188', '0.000000', '0.000229', '0.000000', '0.012589', '0.012609')
('owner', 'sound', '0.000027', '0.000144', '0.000000', '0.000245', '0.000000', '0.057122', '0.057145')
('owner', 'hdr', '0.000036', '0.000185', '0.000000', '0.000233', '0.000000', '0.055692', '0.055714')
('vfx-1', 'owner', '0.000030', '0.000148', '0.000000', '0.000189', '0.000000', '0.013226', '0.013240')
('vfx-1', 'vfx-2', '0.000025', '0.000135', '0.000000', '0.000175', '0.000000', '0.011128', '0.011177')
('vfx-1', 'vfx-3', '0.000026', '0.000142', '0.000000', '0.000182', '0.000000', '0.011114', '0.011162')
('vfx-1', 'color', '0.000026', '0.000134', '0.000000', '0.000172', '0.000000', '0.020832', '0.020856')
('vfx-1', 'sound', '0.000024', '0.000125', '0.000000', '0.000164', '0.000000', '0.062181', '0.062204')
('vfx-1', 'hdr', '0.000033', '0.000151', '0.000000', '0.000193', '0.000000', '0.061128', '0.061154')
('vfx-2', 'owner', '0.000033', '0.000185', '0.000000', '0.000227', '0.000000', '0.012666', '0.012685')
('vfx-2', 'vfx-1', '0.000034', '0.000157', '0.000000', '0.000200', '0.000000', '0.009460', '0.009480')
